Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
SEA,Mariners,132.507,503.536,569.307,133.078,92.0903,26.0578,1.09545,13.8342,65.6085,63.7189,49.9705,2.00158,79.4007,9.78512,4.42548,1.59031,12.7712,5.11679,1.7568,0.264287,0.339665,0.40281,0.742475,0.325327,0.0877743,0.139469,0.629346,0.138523,3.51889,0.287524,,,72.9404,5.67243,-0.23,-0.685306,-0.685306,3.11023,9.501039683818817,1.303645744919777,115.181,637.4,4.792481203,637.4,4.792481203,268.6099853515625,0.01587302,2B/OF,/players/brendan-donovan/24679/stats/batting,11,AL,Brendan Donovan,680977,24679,24679
KCR,Royals,149.886,576.13,639.538,155.509,108.467,30.9768,2.93131,13.134,82.3829,66.2983,52.4401,0.814893,92.5649,1.64399,5.96557,3.35807,12.829,25.1774,7.51977,0.26992,0.329456,0.402254,0.731709,0.319158,0.0819969,0.144737,0.566523,0.132334,5.73945,0.298858,,,78.7352,3.16882,3.97,0.888279,0.888279,3.10243,1.9307359457015991,6.3804473876953125,101.383,713.9,4.759333333,713.9,4.759333333,63.869998931884766,0.03389831,3B,/players/maikel-garcia/22715/stats/batting,7,AL,Maikel Garcia,672580,22715,22715
NYY,Yankees,116.572,394.7,441.062,85.5367,49.6759,16.9735,1.33845,17.5488,49.5423,52.0237,37.3004,0.761569,110.523,4.75425,3.47793,0.82904,5.83989,3.31499,1.1453,0.216713,0.289827,0.399882,0.689709,0.299584,0.0845696,0.250584,0.33749,0.183169,3.70628,0.251708,,,47.2909,-4.82396,10.95,-0.406572,-0.406572,3.09836,-4.54227751493454,19.644927978515625,92.0443,439.7,3.758119658,439.7,3.758119658,248.3300018310547,0.00813008,C,/players/austin-wells/27562/stats/batting,9,AL,Austin Wells,669224,27562,27562
ATH,Athletics,149.599,565.931,638.681,150.699,83.3141,32.5188,0.917166,33.9494,89.52,94.418,59.5511,2.4469,159.758,8.27857,4.33575,0.584406,9.16193,6.67682,2.21214,0.266286,0.34247,0.506953,0.849423,0.362331,0.0932407,0.250138,0.372757,0.240667,3.75609,0.310045,,,101.017,25.552,-0.06,-0.552193,-0.552193,3.07319,23.02483493089676,-14.969879683107138,131.321,912.3,6.082,912.3,6.082,42.45000076293945,0.82822086,DH/OF,/players/brent-rooker/19627/stats/batting,10,AL,Brent Rooker,667670,19627,19627
ATH,Athletics,142.537,498.967,579.097,125.295,65.9145,23.4411,2.26989,33.6699,83.8585,88.0907,71.408,3.64727,179.394,4.3805,3.76163,0.58029,8.3079,3.20314,0.980259,0.25111,0.347585,0.509626,0.857211,0.364822,0.123309,0.309781,0.398052,0.258516,3.70979,0.316316,,,92.7643,24.3395,-0.71,-0.672204,-0.672204,3.05914,21.876555860042572,-11.908193528652191,133.037,826.6,5.78041958,826.6,5.78041958,19.639999389648438,0.04273504,1B,/players/nick-kurtz/35110/stats/batting,10,AL,Nick Kurtz,701762,35110,35110
BAL,Orioles,147.791,552.051,630.484,135.759,80.5315,26.2508,1.46735,27.509,81.5467,81.7971,65.9449,0.574642,155.669,6.6209,5.27172,0.595852,9.47854,4.71963,1.68687,0.245917,0.330732,0.448276,0.779009,0.337323,0.104594,0.246904,0.423622,0.202359,3.67079,0.289326,,,86.9193,12.4228,2.07,-0.753783,-0.753783,3.05053,12.887794196605682,-4.772176027297974,118.358,776.8,5.248648648,776.8,5.248648648,149.52000427246094,0.02547771,OF,/players/taylor-ward/17548/stats/batting,2,AL,Taylor Ward,621493,17548,17548
HOU,Astros,130.1,485.256,516.084,130.721,88.3306,24.2022,0.696167,17.4925,58.5469,65.9661,22.5725,1.07233,90.4096,3.37032,4.21143,0.673348,11.7,1.58302,0.548347,0.269386,0.30396,0.430275,0.734235,0.315524,0.043738,0.175184,0.249669,0.160888,2.56308,0.296748,,,62.0139,1.03456,1.11,-0.655271,-0.655271,2.85757,0.8483084440231323,9.318763136863708,102.472,562.7,4.328461538,562.7,4.328461538,112.20999908447266,0.18115942,C/DH,/players/yainer-diaz/23003/stats/batting,21,AL,Yainer Diaz,673237,23003,23003
SEA,Mariners,151.428,563.779,650.708,130.95,79.5431,24.602,2.70499,24.0994,87.7689,73.6498,65.4256,0.863483,169.4,16.8695,3.98507,0.648971,10.6534,23.8436,7.39645,0.232271,0.328039,0.413743,0.741782,0.325332,0.100545,0.260331,0.38622,0.181472,5.83183,0.285493,,,83.372,6.48587,0.0,0.677044,0.677044,2.81516,12.322239756584167,-7.203285217285156,115.184,756.8,5.011920529,756.8,5.011920529,89.26000213623047,0.0125,OF,/players/randy-arozarena/19290/stats/batting,11,AL,Randy Arozarena,668227,19290,19290
DET,Tigers,146.575,550.717,631.352,140.764,96.7469,26.6005,0.508292,16.9088,75.0785,68.4969,69.6776,0.034213,109.639,3.96577,5.70727,1.28433,11.673,7.1111,3.21199,0.255602,0.340293,0.39786,0.738153,0.325299,0.110362,0.173657,0.63552,0.142258,3.29538,0.288119,,,80.8754,6.27625,-2.44,-1.01778,-1.01778,2.73886,5.217520594596863,-0.1780402660369873,108.379,709.3,4.825170068,709.3,4.825170068,261.8699951171875,0.06944444,2B,/players/gleyber-torres/16997/stats/batting,6,AL,Gleyber Torres,650402,16997,16997
NYY,Yankees,131.679,475.304,541.356,118.394,66.7324,23.3232,2.57091,25.7673,73.3195,71.2518,53.9362,0.450906,112.618,7.81633,3.74865,0.550923,9.34784,5.1816,1.59059,0.249091,0.333108,0.471615,0.804723,0.346598,0.0996316,0.208029,0.478932,0.222525,4.26248,0.271897,,,78.7085,14.7431,0.7,-0.460293,-0.460293,2.72829,15.127580463886261,-7.093940079212189,124.43,703.9,5.332575757,703.9,5.332575757,53.060001373291016,0.35820896,1B/DH,/players/ben-rice/29576/stats/batting,9,AL,Ben Rice,700250,29576,29576
