Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
SEA,Mariners,130,496,560,135,95,27,1,12,68,55,50,2,77,9,3,2,,5,3,0.273126,0.348496,0.404323,0.752819,0.330572,0.0887575,0.136727,0.649158,0.131197,3.41447,0.300653,-0.222065,,74.1325,7.96418,-2.73175,-1.14729,-1.36935,2.97499,11.034943103790283,-1.2317469120025635,118.794,634.9,4.883846153,634.9,4.883846153,268.6099853515625,0.01587302,2B/OF,/players/brendan-donovan/24679/stats/batting,11,AL,Brendan Donovan,680977,24679,24679
SEA,Mariners,144,562,623,151,97,31,0,23,74,92,51,6,92,5,5,0,,18,3,0.268929,0.332183,0.449931,0.782115,0.335038,0.0821858,0.148081,0.555006,0.181002,4.18034,0.282784,-0.573047,,84.7314,11.1191,1.22964,1.19202,0.618968,2.8622,16.67774909734726,-10.14535653591156,121.87,783.5,5.440972222,783.5,5.440972222,67.12999725341797,0.13422819,1B,/players/josh-naylor/18839/stats/batting,11,AL,Josh Naylor,647304,18839,18839
TOR,Blue Jays,138,537,595,135,95,24,2,14,68,66,34,2,103,16,4,3,,21,4,0.250893,0.313059,0.37953,0.692588,0.303674,0.0577461,0.172845,0.334092,0.128637,5.66379,0.284982,0.00386759,,65.7718,-4.53201,3.00356,1.66006,1.66392,2.81871,-2.3074817657470703,9.378555059432983,94.3369,610.3,4.422463768,610.3,4.422463768,400.30999755859375,0.0,2B,/players/andres-gimenez/19950/stats/batting,14,AL,Andrés Giménez,665926,19950,19950
NYY,Yankees,126,464,546,101,58,17,1,24,73,65,72,0,136,5,3,2,,6,2,0.217308,0.327487,0.414102,0.74159,0.325921,0.131847,0.248355,0.530881,0.196794,3.92293,0.250606,-0.125517,,70.2175,5.70342,0.212005,-0.426035,-0.551553,2.75817,6.003877878189087,2.162005364894867,110.187,619.0,4.912698412,619.0,4.912698412,253.47000122070312,0.0,OF,/players/trent-grisham/18564/stats/batting,9,AL,Trent Grisham,663757,18564,18564
ATH,Athletics,131,476,524,121,67,25,1,28,70,83,39,1,117,4,4,1,,5,1,0.2534,0.313019,0.487343,0.800362,0.341211,0.0744824,0.224219,0.332186,0.233943,3.81982,0.276658,-0.0504112,,73.865,11.974,-4.26394,-0.256676,-0.307087,2.75064,10.047128736972809,3.1610560417175293,116.772,678.7,5.18091603,678.7,5.18091603,54.310001373291016,0.12903226,C,/players/shea-langeliers/25816/stats/batting,10,AL,Shea Langeliers,669127,25816,25816
TBR,Rays,151,576,651,168,117,30,1,20,84,77,62,2,97,7,4,2,,3,1,0.291577,0.364683,0.451948,0.816631,0.354657,0.0955086,0.149084,0.640636,0.160371,2.66837,0.318879,-0.725394,,98.9092,21.9885,-0.0644965,-1.08671,-1.81211,2.74878,19.64967954158783,-15.189496517181396,127.971,855.4,5.664900662,855.4,5.664900662,138.10000610351562,0.75496689,1B/3B,/players/yandy-diaz/16578/stats/batting,12,AL,Yandy Díaz,650490,16578,16578
TOR,Blue Jays,130,495,560,124,73,25,0,25,66,83,53,6,100,8,4,1,,2,1,0.249729,0.329227,0.453303,0.78253,0.335322,0.094405,0.178982,0.527456,0.203574,2.34959,0.264301,-0.231432,,76.2924,10.1241,-0.815492,-0.88247,-1.1139,2.72117,9.537842869758606,-2.2154916524887085,116.138,690.9,5.314615384,690.9,5.314615384,999.0,0.0,3B,/players/kazuma-okamoto/sa3063134/stats/batting,14,AL,Kazuma Okamoto,672960,sa3063134,sa3063134
TOR,Blue Jays,138,537,595,122,66,23,4,29,80,84,46,1,152,5,5,2,,9,3,0.226342,0.291525,0.444202,0.735728,0.31509,0.0774276,0.255506,0.303037,0.21786,5.41833,0.257153,0.177345,,71.2866,0.9828,2.37878,-0.376161,-0.198816,2.69361,1.3445926755666733,4.503778457641602,102.201,670.0,4.855072463,670.0,4.855072463,194.1300048828125,0.01449275,OF,/players/daulton-varsho/19918/stats/batting,14,AL,Daulton Varsho,662139,19918,19918
BAL,Orioles,152,576,658,140,82,28,2,28,84,89,69,0,160,6,6,1,,5,2,0.243489,0.32784,0.445489,0.773329,0.334993,0.104859,0.242685,0.43208,0.202,3.61342,0.28403,-0.66486,,89.4677,11.7199,-0.724489,-0.906987,-1.57185,2.69009,11.420027494430542,-7.774489343166351,116.752,792.7,5.215131578,792.7,5.215131578,149.52000427246094,0.02547771,OF,/players/taylor-ward/17548/stats/batting,2,AL,Taylor Ward,621493,17548,17548
TOR,Blue Jays,149,602,644,163,115,32,3,13,76,72,28,1,63,5,5,4,,8,4,0.271208,0.306412,0.398179,0.704591,0.305164,0.0438663,0.0985751,0.445004,0.126971,4.35465,0.283385,0.531433,,71.9677,-4.1259,4.62368,-0.723199,-0.191766,2.60674,-3.7108848094940186,7.023684024810791,95.3637,645.9,4.334899328,645.9,4.334899328,344.1700134277344,0.0,3B,/players/ernie-clement/20352/stats/batting,14,AL,Ernie Clement,676391,20352,20352
