Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,InterSD,InterSK,IntraSD,Vol,Skew,Dim,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
HOU,Astros,130.1,486.324,516.084,130.931,86.2656,23.6523,1.40668,19.6063,57.6575,67.4355,22.0771,1.08955,89.1205,2.94062,4.17298,0.570083,11.4579,1.12139,0.436306,0.269226,0.302511,0.444592,0.747103,0.319859,0.042778,0.172686,0.247722,0.175366,2.52823,0.291602,0.0749367,,63.8301,2.8508,-0.760508,-0.68186,-0.606924,2.85697,2.7128982543945312,7.448243618011475,105.458,587.8,4.521538461,587.8,4.521538461,1.79053,-0.265216,0.822951,1.79053,0.265216,3.90273,112.20999908447266,0.18115942,C/DH,/players/yainer-diaz/23003/stats/batting,21,AL,Yainer Diaz,673237,23003,23003
CLE,Guardians,145.6,569.716,637.762,154.818,117.326,26.2651,2.71378,8.51272,78.9084,53.6649,56.9186,1.25379,58.3292,4.34841,4.02856,2.75018,9.18839,17.464,4.61446,0.271745,0.340285,0.3722,0.712485,0.315084,0.0892473,0.0914592,0.975816,0.100455,5.05948,0.288625,0.680751,,76.4073,1.05076,1.92793,0.432353,1.1131,2.84565,3.201399326324463,2.661133885383606,102.778,676.4,4.632876712,676.4,4.632876712,2.592,-0.544575,1.18906,2.592,0.544575,3.41459,169.36000061035156,0.02547771,OF,/players/steven-kwan/24610/stats/batting,5,AL,Steven Kwan,680757,24610,24610
BAL,Orioles,152.712,576.191,655.282,145.212,80.3146,27.8236,1.0821,35.992,85.0442,102.652,59.8971,4.42288,150.365,12.7554,6.22807,0.209998,12.0859,1.96245,0.898606,0.252021,0.332582,0.491462,0.824043,0.350912,0.0914067,0.229467,0.398344,0.239441,2.69124,0.275766,-1.1793,,97.5674,20.1408,-1.65885,-0.956146,-2.13545,2.84434,19.272042274475098,-14.025246143341064,127.718,881.3,5.760130718,881.3,5.760130718,2.54414,-1.06973,1.45769,2.54414,1.06973,3.05642,24.399999618530273,0.01234568,1B,/players/pete-alonso/19251/stats/batting,2,AL,Pete Alonso,624413,19251,19251
DET,Tigers,146.575,550.34,631.352,141.531,97.7939,25.8422,0.829194,17.0662,78.1955,67.7928,70.3927,0.304617,108.781,3.93305,5.45605,1.23008,10.3301,5.47808,2.43689,0.257171,0.342564,0.400171,0.742735,0.327137,0.111495,0.172299,0.647104,0.143001,3.18587,0.289488,-0.64445,,81.8176,7.21844,-2.45295,-1.0366,-1.68105,2.76608,5.496446490287781,-0.19098615646362305,109.646,712.0,4.843537414,712.0,4.843537414,2.8183,-1.4122,0.501099,2.8183,1.4122,4.33187,261.8699951171875,0.06944444,2B,/players/gleyber-torres/16997/stats/batting,6,AL,Gleyber Torres,650402,16997,16997
HOU,Astros,129.332,490.085,545.71,129.344,88.5073,24.1147,0.801103,15.9204,64.4613,62.8485,48.7751,1.78086,107.697,3.13211,3.51687,0.201343,12.4143,0.285895,0.149547,0.263921,0.33226,0.41385,0.74611,0.325076,0.0893792,0.197352,0.452892,0.149929,1.9124,0.306562,0.00841668,,69.8059,5.32605,0.766421,-0.919278,-0.910861,2.7471,4.9111292362213135,3.1565374732017517,109.052,614.1,4.760465116,614.1,4.760465116,1.76674,-0.368411,0.670081,1.76674,0.368411,4.10656,280.9700012207031,0.0,SS,/players/carlos-correa/14162/stats/batting,21,AL,Carlos Correa,621043,14162,14162
ATH,Athletics,149.599,567.868,638.681,149.661,84.9332,30.5338,1.75725,32.4371,86.0787,95.3052,60.3017,2.82071,162.206,6.39922,3.88908,0.223172,8.5584,6.34967,1.78014,0.26355,0.338883,0.494871,0.833753,0.356198,0.094416,0.253971,0.371759,0.231321,3.92088,0.310846,-0.42515,,97.8366,22.3716,-1.64675,-0.441483,-0.866633,2.69935,21.32428526878357,-16.556633710861206,129.397,877.9,5.852666666,877.9,5.852666666,1.7787,-0.354249,0.965414,1.7787,0.354249,3.71278,42.45000076293945,0.82822086,DH/OF,/players/brent-rooker/19627/stats/batting,10,AL,Brent Rooker,667670,19627,19627
DET,Tigers,108.008,393.814,446.713,100.036,61.8396,21.8241,2.69251,13.6801,56.3235,52.0673,44.7818,0.665201,64.7868,2.43772,4.13146,1.54814,6.3053,9.52154,2.60642,0.254019,0.330789,0.427323,0.758112,0.329122,0.100247,0.14503,0.691218,0.173304,5.25156,0.270304,-0.251647,,58.6098,5.82721,1.01719,0.121354,-0.130293,2.65495,5.6679471135139465,4.906363010406494,111.013,530.1,4.908333333,530.1,4.908333333,3.87325,-1.57734,0.480499,3.87325,1.57734,4.35933,999.0,0.0,SS,/players/kevin-mcgonigle/sa3022895/stats/batting,6,AL,Kevin McGonigle,805808,sa3022895,sa3022895
MIN,Twins,126.266,469.885,534.407,125.315,85.9439,26.698,1.66898,11.0044,68.0242,56.5275,49.2496,0.979,91.6909,10.4165,4.61898,0.236034,8.42208,24.1357,5.93175,0.266693,0.346297,0.400873,0.74717,0.32864,0.0921575,0.171575,0.537126,0.13418,5.68043,0.307445,-0.583796,,69.9065,6.76224,-1.25968,1.44318,0.859385,2.64669,7.267517685890198,0.20775258541107178,110.174,628.9,4.991269841,628.9,4.991269841,1.78493,0.187291,1.07827,1.78493,-0.187291,3.5623,116.77999877929688,0.16326531,2B,/players/luke-keaschall/33321/stats/batting,8,AL,Luke Keaschall,807712,33321,33321
SEA,Mariners,139.142,500.029,577.654,120.608,85.3203,23.3263,0.873424,11.0876,63.6686,53.1196,65.981,0.74305,111.709,4.80075,3.20918,3.63375,9.90453,5.20875,1.2288,0.241201,0.333419,0.357867,0.691286,0.308826,0.114222,0.193383,0.590653,0.116665,3.55666,0.287876,-0.255733,,66.2706,-1.9836,-4.37376,-0.487094,-0.742826,2.4354,1.8536651134490967,2.0680179595947266,103.814,573.1,4.123021582,573.1,4.123021582,3.21356,0.971179,0.275086,3.21356,-0.971179,4.63322,748.3300170898438,0.0,SS,/players/jp-crawford/15491/stats/batting,11,AL,J.P. Crawford,641487,15491,15491
BAL,Orioles,147.791,553.277,630.484,133.926,79.274,25.7733,1.77054,27.1087,80.3044,83.3219,65.2355,0.471463,153.882,5.65319,5.78514,0.532808,9.3055,4.78638,1.66626,0.24206,0.325129,0.442033,0.767162,0.332213,0.103469,0.24407,0.423931,0.199973,3.68672,0.282534,-0.72393,,84.3034,9.80685,-0.697295,-0.713297,-1.43723,2.42983,9.588390946388245,-7.539474070072174,114.837,754.9,5.100675675,754.9,5.100675675,1.38089,-1.3227,0.923538,1.38089,1.3227,3.76862,149.52000427246094,0.02547771,OF,/players/taylor-ward/17548/stats/batting,2,AL,Taylor Ward,621493,17548,17548
