player_name,team,pos_type,position,projection_system,fg_id,mlbam_id,PA,AB,IP,R,HR,RBI,SB,AVG,W,SV,ERA,WHIP,SO,sgp_R,sgp_HR,sgp_RBI,sgp_SB,sgp_AVG,sgp_W,sgp_SV,sgp_SO,sgp_ERA,sgp_WHIP,total_sgp,par,dollar_value,is_pitcher,msp,delta_rank_R,delta_rank_HR,delta_rank_RBI,delta_rank_SB,delta_rank_AVG,delta_rank_W,delta_rank_SV,delta_rank_SO,delta_rank_ERA,delta_rank_WHIP,msp_per_dollar,team_rank_R,team_rank_HR,team_rank_RBI,team_rank_SB,team_rank_AVG,team_rank_W,team_rank_SV,team_rank_SO,team_rank_ERA,team_rank_WHIP,team_baseline_pts,tps
Corey Seager,TEX,hitter,SS,atc,13624,608369,526.391,458.784,,70.6485,26.4096,75.5962,2.44377,0.273149,,,,,,2.21999670704588,2.1699089352961316,2.450834095314895,0.2359062539876962,0.8268366460203886,0.0,0.0,0.0,0.0,0.0,7.903482637664991,3.597216956566707,20.216892866498064,False,4.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.19785434024970788,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,44
Carlos Rodón,NYY,pitcher,SP,atc,16137,607074,,,139.92,,,,,,10.5258,0.0,4.04332,1.21922,148.188,0.0,0.0,0.0,0.0,0.0,3.5086,0.0,4.153833216538192,0.3879342573739269,0.9376033154146254,8.987970789326743,4.372556477128303,24.57441597717427,True,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.16277090791151924,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,44
Kenley Jansen,DET,pitcher,RP,atc,3096,445276,,,56.0065,,,,,,3.58833,22.1497,3.96815,1.20492,56.9076,0.0,0.0,0.0,0.0,0.0,1.19611,3.45903190148834,1.5951674842326562,0.1891685863719616,0.4103673703371745,6.849845342430132,2.2344310302316925,12.557833820200754,True,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.31852627270521205,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,99
Josh Hader,HOU,pitcher,RP,atc,14212,623352,,,48.271,,,,,,3.75174,22.8101,3.24694,1.06543,65.0319,0.0,0.0,0.0,0.0,0.0,1.25058,3.5621639830850613,1.8228983882270495,0.4432698347015535,0.6485148410589631,7.727427047072628,3.112012734874188,17.489973170864094,True,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.22870246631729851,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,99
Ryan Helsley,BAL,pitcher,RP,atc,18138,664854,,,62.5708,,,,,,4.03059,29.1414,3.54158,1.21321,70.4941,0.0,0.0,0.0,0.0,0.0,1.34353,4.550898308059807,1.9760084092501755,0.4261860395561374,0.4357524817570524,8.732375238623174,4.116960926424734,23.13793107005888,True,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1728763037580361,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,44
Riley Greene,DET,hitter,OF,atc,25976,682985,629.559,564.911,,82.1531,27.9302,88.7112,3.76821,0.257073,,,,,,2.5815072007701634,2.2948469702156795,2.876023313292186,0.3637593985272659,0.562444821613527,0.0,0.0,0.0,0.0,0.0,8.678581704418821,4.372316023320537,24.57306459110842,False,4.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1627798594338685,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,44
Jose Altuve,HOU,hitter,2B,atc,5417,514888,600.038,540.214,,78.3052,20.011,67.7799,11.8606,0.262291,,,,,,2.460594154788411,1.6441766518315644,2.1974291022172285,1.144948058142325,0.6792885663890865,0.0,0.0,0.0,0.0,0.0,8.126436533368617,3.8201708522703326,21.469926830818803,False,4.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.18630710907958187,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,44
Carlos Estévez,KCR,pitcher,RP,atc,14542,608032,,,62.4979,,,,,,3.64054,28.2324,4.17582,1.26372,56.6085,0.0,0.0,0.0,0.0,0.0,1.2135133333333334,4.408943338084914,1.5867834618079888,0.1066210881160095,0.2970218915109416,7.612883112853186,2.9974688006547465,16.84621927039548,True,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.2374420002373682,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,99
Chase Meidroth,CHW,hitter,2B/SS,atc,31580,805367,536.631,468.712,,62.4208,6.5903,39.6051,12.6987,0.252493,,,,,,1.9614566544395065,0.5414830537487162,1.2840001141374295,1.22585298432895,0.3589567444309987,0.0,0.0,0.0,0.0,0.0,5.371749551085601,1.0654838699873164,5.98817739118924,False,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5009871625403212,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,100
Brendan Donovan,SEA,hitter,2B/OF,atc,24679,680977,569.307,505.891,,65.7751,12.9074,58.165,4.88225,0.267753,,,,,,2.0668592454986796,1.0605190003423486,1.8857133712275336,0.4713018444990444,0.7747695640829455,0.0,0.0,0.0,0.0,0.0,6.259163025650552,1.9528973445522675,10.975572747150649,False,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2733342549962894,8.0,8.0,8.0,8.0,5.0,1.0,5.0,1.0,6.0,6.0,56.0,95
